team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
49ers,SF,14,,HB,553386986,Isaac Guerendo,1,0,10091,31,1,0.60,2,100.00,0,7,0,19,6,9.50,3.00,4.00
49ers,SF,14,,WR,553388059,Ricky Pearsall,1,0,10206,1,1,1.40,2,66.67,1,7,0,1,14,0.50,7.00,49.00
49ers,SF,14,,TE,553388664,Jake Tonges,3,0,10469,88,1,1.30,1,100.00,0,13,0,3,13,3.00,13.00,6.50
49ers,SF,14,,WR,553386014,Brandon Aiyuk,5,0,71,11,1,1.30,4,80.00,1,5,0,10,13,2.50,3.25,40.00
49ers,SF,14,,WR,553387316,Jauan Jennings,5,0,391,15,1,5.40,6,100.00,0,12,0,32,54,5.33,9.00,50.00
49ers,SF,14,,HB,553387697,Christian McCaffrey,8,0,8655,23,1,2.60,8,100.00,0,11,0,33,26,4.12,3.25,28.00
49ers,SF,14,,TE,553387484,George Kittle,8,0,8622,85,1,2.90,4,80.00,1,16,0,19,29,4.75,7.25,61.00
49ers,SF,14,,FB,553387434,Kyle Juszczyk,12,0,6869,44,1,0.50,1,100.00,0,5,0,6,5,6.00,5.00,11.00
Bears,CHI,0,,TE,553387613,Colston Loveland,0,0,10639,84,1,4.70,5,100.00,0,13,0,11,47,2.20,9.40,41.00
Bears,CHI,0,,HB,553387830,Kyle Monangai,0,0,10666,25,1,7.00,2,100.00,0,9,1,15,10,7.50,5.00,5.00
Bears,CHI,0,,WR,553386352,Luther Burden III,0,0,10510,10,1,2.50,3,75.00,1,16,0,14,25,4.67,8.33,23.00
Bears,CHI,0,,WR,553387964,Rome Odunze,1,0,10199,15,1,6.80,3,100.00,0,40,0,3,68,1.00,22.67,54.50
Bears,CHI,0,,WR,553386695,Devin Duvernay,5,0,265,12,1,0.70,1,100.00,0,7,0,2,7,2.00,7.00,3.50
Bears,CHI,0,,WR,553387844,DJ Moore,7,0,8995,2,1,4.80,3,100.00,0,26,0,2,48,0.67,16.00,46.00
Bengals,CIN,1,,WR,553387243,Andrei Iosivas,2,0,2229,80,1,7.20,1,50.00,1,12,1,0,12,0.00,12.00,37.50
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,2.60,8,88.89,1,17,0,61,26,7.62,3.25,16.00
Bengals,CIN,1,,WR,553386439,Ja'Marr Chase,4,0,1370,1,1,16.40,6,100.00,0,67,1,61,104,10.17,17.33,104.00
Bengals,CIN,1,,WR,553387141,Tee Higgins,5,0,351,5,1,2.90,4,100.00,0,12,0,15,29,3.75,7.25,32.00
Bengals,CIN,1,,TE,553386900,Mike Gesicki,7,0,8900,88,1,4.50,4,80.00,1,16,0,35,45,8.75,11.25,42.50
Bills,BUF,2,,WR,553386482,Keon Coleman,1,0,10038,0,1,11.70,8,100.00,0,12,1,22,57,2.75,7.12,68.00
