team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
49ers,SF,14,,HB,553386986,Isaac Guerendo,1,0,10091,31,1,6.20,1,0,0,0,0,0,0,0,0.00,0.00,9.50
49ers,SF,14,,QB,553388147,Brock Purdy,3,0,1899,13,1,-0.60,7,0,1,8,0,0,10,14,10.00,2.00,30.00
49ers,SF,14,,HB,553387697,Christian McCaffrey,8,0,8655,23,1,3.00,23,8,0,14,0,0,52,90,52.00,3.91,67.50
49ers,SF,14,,TE,553387484,George Kittle,8,0,8622,85,1,15.30,0,1,0,0,0,0,0,0,0.00,0.00,0.00
49ers,SF,14,,FB,553387434,Kyle Juszczyk,12,0,6869,44,1,1.70,2,0,0,43,1,1,5,44,5.00,22.00,22.00
Bears,CHI,0,,HB,553387663,Damien Martinez,0,0,10646,24,1,3.10,8,1,0,20,0,1,10,31,10.00,3.88,31.00
Bears,CHI,0,,WR,553386352,Luther Burden III,0,0,10510,10,1,2.10,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Bears,CHI,0,,QB,553388871,Caleb Williams,1,0,10296,18,1,4.30,3,0,0,27,0,1,0,43,0.00,14.33,47.00
Bears,CHI,0,,TE,553387486,Cole Kmet,5,0,711,85,1,1.80,1,0,0,4,0,0,2,4,2.00,4.00,8.50
Bears,CHI,0,,HB,553388560,D'Andre Swift,5,0,599,4,1,5.30,16,3,0,15,0,0,13,45,13.00,2.81,23.00
Bengals,CIN,1,,WR,553387243,Andrei Iosivas,2,0,2229,80,1,12.30,2,0,0,6,0,0,0,3,0.00,1.50,1.50
Bengals,CIN,1,,HB,553386312,Chase Brown,2,0,1827,30,1,0.60,12,1,0,8,0,0,0,39,0.00,3.25,98.50
Bengals,CIN,1,,WR,553386439,Ja'Marr Chase,4,0,1370,1,1,16.40,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bengals,CIN,1,,QB,553386364,Joe Burrow,5,0,198,9,1,2.10,3,0,0,9,0,0,0,21,0.00,7.00,20.50
Bengals,CIN,1,,WR,553387141,Tee Higgins,5,0,351,5,1,3.50,1,0,0,1,0,0,0,1,0.00,1.00,0.50
Bengals,CIN,1,,HB,553388076,Samaje Perine,9,0,8685,34,1,0.70,2,2,0,10,0,0,2,13,2.00,6.50,8.00
Bills,BUF,2,,WR,553386482,Keon Coleman,1,0,10038,0,1,13.90,1,0,0,0,0,0,2,0,2.00,0.00,0.00
Bills,BUF,2,,HB,553386594,Ray Davis,1,0,10051,22,1,1.10,3,0,0,8,0,0,2,11,2.00,3.67,5.50
Bills,BUF,2,,HB,553386505,James Cook III,3,0,1304,4,1,1.30,16,3,0,10,0,0,26,41,26.00,2.56,56.50
Bills,BUF,2,,WR,553388030,Joshua Palmer,4,0,1248,5,1,1.20,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,FB,553386912,Reggie Gilliam,5,0,1432,41,1,0.90,1,0,0,1,0,0,1,1,1.00,1.00,0.50
Bills,BUF,2,,WR,553387071,Deonte Harty,6,0,327,82,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,2.90,6,0,0,26,0,1,5,29,5.00,4.83,31.00
Broncos,DEN,3,,WR,553386343,Pat Bryant,0,0,10507,13,1,8.30,1,0,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,,HB,553387072,RJ Harvey,0,0,10579,12,1,1.70,14,4,0,16,0,0,32,65,32.00,4.64,45.00
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,1.20,2,0,0,11,0,0,0,12,0.00,6.00,23.00
Broncos,DEN,3,,WR,553387811,Marvin Mims Jr,2,0,2312,19,1,1.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Broncos,DEN,3,,WR,553388553,Courtland Sutton,7,0,9072,14,1,7.80,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Browns,CLE,4,,HB,553388312,Dylan Sampson,0,0,10716,22,1,2.00,14,2,0,10,0,0,10,15,10.00,1.07,57.67
Browns,CLE,4,,HB,553387429,Quinshon Judkins,0,0,10618,10,1,0.20,1,1,0,2,0,0,0,2,0.00,2.00,6.67
Browns,CLE,4,,QB,553388636,Dorian Thompson-Robinson,2,0,2616,14,1,3.70,6,0,0,14,0,0,0,37,0.00,6.17,53.33
Browns,CLE,4,,WR,553387319,Jerry Jeudy,5,0,392,3,1,3.70,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,HB,553387244,Bucky Irving,1,0,10113,7,1,2.90,17,2,0,47,1,2,19,105,19.00,6.18,100.50
Buccaneers,TB,5,,WR,553387351,Kameron Johnson,1,0,10924,19,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,HB,553388692,Sean Tucker,2,0,2435,44,1,0.10,1,0,0,1,0,0,0,1,0.00,1.00,0.50
Buccaneers,TB,5,,TE,553388017,Cade Otton,3,0,1872,88,1,8.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Buccaneers,TB,5,,HB,553388853,Rachaad White,3,0,2028,1,1,1.50,1,1,0,15,0,0,0,15,0.00,15.00,8.50
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,7,0,8982,6,1,9.80,8,0,0,19,1,0,7,38,7.00,4.75,21.50
Buccaneers,TB,5,,WR,553386928,Chris Godwin Jr,8,0,8567,14,1,1.20,0,1,0,0,0,0,0,0,0.00,0.00,-1.00
Buccaneers,TB,5,,WR,553386757,Mike Evans,11,0,6407,13,1,4.10,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cardinals,ARI,6,,HB,553386186,Trey Benson,1,0,10011,33,1,2.30,1,0,0,23,0,1,3,23,3.00,23.00,15.50
Cardinals,ARI,6,,QB,553387895,Kyler Murray,6,0,9583,1,1,9.40,11,0,0,28,0,1,14,94,14.00,8.55,80.00
Cardinals,ARI,6,,HB,553386498,James Conner,8,0,8515,6,1,0.40,23,2,1,44,2,2,67,198,67.00,8.61,147.00
Chargers,LAC,7,,HB,553387024,Omarion Hampton,0,0,10572,8,1,6.70,11,8,0,16,0,0,25,34,25.00,3.09,32.00
Chargers,LAC,7,,TE,553386871,Oronde Gadsden,0,0,10558,86,1,10.50,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Chargers,LAC,7,,WR,553387060,Tre' Harris,0,0,10578,9,1,9.20,0,0,1,0,0,0,0,0,0.00,0.00,0.00
