team__displayName,team__abbrName,team__logoId,team__logo,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,passTotalAtt,passTotalComp,passAvgCompPct,passTotalInts,passTotalLongest,passerAvgRating,passTotalSacks,passTotalTDs,passTotalYds,passAvgYdsPerAtt,passAvgYdsPerGame
49ers,SF,14,,QB,553388147,Brock Purdy,3,0,1899,13,1,0.80,23,17,73.91,0,67,146.00,2,4,236,10.26,246.00
Bears,CHI,0,,QB,553388871,Caleb Williams,1,0,10296,18,1,-3.40,47,27,57.45,2,37,67.70,5,1,321,6.83,245.50
Bengals,CIN,1,,QB,553386364,Joe Burrow,5,0,198,9,1,4.40,34,26,76.47,0,40,106.10,1,1,249,7.32,283.25
Bills,BUF,2,,WR,553388365,Khalil Shakir,3,0,1942,10,1,15.70,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Bills,BUF,2,,QB,553386033,Josh Allen,7,0,8800,17,1,1.50,45,34,75.56,2,24,77.10,4,1,251,5.58,272.00
Broncos,DEN,3,,QB,553387936,Bo Nix,1,0,10195,10,1,11.20,37,26,70.27,1,23,82.10,4,1,211,5.70,183.75
Browns,CLE,4,,QB,553389038,Brady Cook,0,0,10526,11,1,-1.64,2,1,50.00,1,9,22.90,0,0,9,4.50,9.00
Browns,CLE,4,,WR,553389142,Gage Larvadain,0,0,11012,84,1,1.90,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
Browns,CLE,4,,QB,553388636,Dorian Thompson-Robinson,2,0,2616,14,1,6.80,28,15,53.57,0,37,77.80,8,0,209,7.46,213.50
Buccaneers,TB,5,,QB,553387689,Baker Mayfield,7,0,8982,6,1,2.30,52,35,67.31,1,31,98.60,0,3,365,7.02,297.50
Cardinals,ARI,6,,QB,553387895,Kyler Murray,6,0,9583,1,1,14.60,35,24,68.57,0,62,112.60,1,2,289,8.26,273.00
Chargers,LAC,7,,WR,553387710,Ladd McConkey,1,0,10169,15,1,3.80,0,1,0.00,0,0,0.00,0,0,0,0.00,0.00
