id,teamId,league,notes,displayName,abbrName,cityName,conferenceName,defScheme,divName,injuryCount,logoId,nickName,offScheme,ovrRating,primaryColor,secondaryColor,userName,awayLosses,awayTies,awayWins,calendarYear,conferenceId,confLosses,confTies,confWins,capRoom,capAvailable,capSpent,defPassYds,defPassYdsRank,defRushYds,defRushYdsRank,defTotalYds,defTotalYdsRank,divisionId,divLosses,divisionName,divTies,divWins,homeLosses,homeTies,homeWins,netPts,offPassYds,offPassYdsRank,offRushYds,offRushYdsRank,offTotalYds,offTotalYdsRank,ptsAgainstRank,ptsForRank,playoffStatus,prevRank,ptsAgainst,ptsFor,rank,seed,seasonIndex,stageIndex,totalLosses,totalTies,totalWins,teamName,teamOvr,tODiff,weekIndex,winLossStreak,winPct,trade_block_comments,logo,banner,footer_banner
1513544,775553024,Premier Football Circuit Slow Sim,,49ers,SF,San Francisco,NFC,19,NFC West,0,14,Niners,2,84,11141120,11506269,VGKREBELS702,1,0,3,2025,767557632,2,0,3,279200000,48170000,231030000,1560,31,442,3,2002,21,770703367,2,NFC West,0,1,1,0,1,17,1348,12,712,14,2060,11,17,9,1,0,22,24,5,6,0,1,2,0,4,49ers,84,1,6,3,0.67,,,,
1513535,775553025,Premier Football Circuit Slow Sim,,Bears,CHI,Chicago,NFC,11,NFC North,0,0,Bears,10,82,726570,15089920,Chefmckinney92,2,0,1,2025,767557632,3,0,1,279200000,16110000,263090000,1484,28,408,2,1892,13,770703365,1,NFC North,0,1,2,0,0,-17,972,30,506,30,1478,31,8,29,0,0,20,16,29,15,0,1,4,0,1,Bears,82,0,6,253,0.20,,,,
1513518,775553026,Premier Football Circuit Slow Sim,,Bengals,CIN,Cincinnati,AFC,11,AFC North,0,1,Bengals,2,82,16469780,0,COACHCHRIS1974,2,0,2,2025,766115840,1,0,2,279200000,25590000,253610000,1553,30,698,16,2251,31,770703361,1,AFC North,0,0,1,0,1,-10,1791,1,602,21,2393,1,26,12,0,0,25,23,16,8,0,1,3,0,3,Bengals,82,-1,6,254,0.50,,,,
1513527,775553027,Premier Football Circuit Slow Sim,,Bills,BUF,Buffalo,AFC,12,AFC East,0,2,Bills,3,86,798338,13961738,BARTLEBEE,1,0,1,2025,766115840,0,1,3,279200000,12390000,266810000,908,2,701,17,1609,2,770703360,0,AFC East,1,2,1,1,2,17,1445,8,556,25,2001,15,3,22,1,0,17,20,12,4,0,1,2,1,3,Bills,86,-4,6,255,0.58,,,,
1513529,775553028,Premier Football Circuit Slow Sim,,Broncos,DEN,Denver,AFC,18,AFC West,0,3,Broncos,0,84,664387,16534530,BigDaddyLunar,3,0,1,2025,766115840,3,0,2,279200000,30850000,248350000,1001,4,960,30,1961,18,770703363,1,AFC West,0,0,1,0,1,-34,1005,27,721,13,1726,27,28,21,0,0,26,20,24,13,0,1,4,0,2,Broncos,84,2,6,1,0.33,,,,
1513519,775553029,Premier Football Circuit Slow Sim,,Browns,CLE,Cleveland,AFC,14,AFC North,0,4,Browns,6,82,16727040,3218688,WilbuhGang420,2,0,1,2025,766115840,1,0,2,279200000,4294347296,279820000,1117,9,683,14,1800,9,770703361,1,AFC North,0,2,1,0,2,14,1060,24,796,10,1856,20,2,28,1,0,16,18,15,7,0,1,3,0,3,Browns,82,-4,6,1,0.50,,,,
1513539,775553030,Premier Football Circuit Slow Sim,,Buccaneers,TB,Tampa Bay,NFC,17,NFC South,0,5,Bucs,0,85,10685741,4078133,ResinBomb,2,0,1,2025,767557632,4,0,0,279200000,37540000,241660000,1404,25,1005,32,2409,32,770703366,1,NFC South,0,0,2,0,1,-24,1628,4,660,17,2288,3,31,7,0,0,30,26,28,14,0,1,4,0,2,Buccaneers,85,-1,6,253,0.33,,,,
1513547,775553031,Premier Football Circuit Slow Sim,,Cardinals,ARI,Arizona,NFC,13,NFC West,0,6,Cardinals,0,82,8847399,16777215,ShadeShadow99,0,0,3,2025,767557632,0,0,4,279200000,43810000,235390000,1402,24,573,5,1975,19,770703367,0,NFC West,0,2,0,0,3,117,1410,10,896,6,2306,2,1,1,1,0,13,33,1,1,0,1,0,0,6,Cardinals,82,11,6,6,1.00,,,,
1513530,775553034,Premier Football Circuit Slow Sim,,Chargers,LAC,Los Angeles,AFC,14,AFC West,0,7,Bolts,1,83,32966,16761358,knich3,1,0,2,2025,766115840,1,0,3,279200000,33760000,245440000,1050,5,795,23,1845,10,770703363,1,AFC West,0,2,0,0,3,38,1229,16,829,9,2058,13,9,6,1,0,20,26,2,1,0,1,1,0,5,Chargers,83,0,6,4,0.83,,,,
1513531,775553035,Premier Football Circuit Slow Sim,,Chiefs,KC,Kansas City,AFC,11,AFC West,0,8,Chiefs,5,87,14882871,15641886,IIdMaNII,2,0,1,2025,766115840,2,0,1,279200000,7130000,272070000,1221,17,697,15,1918,15,770703363,1,AFC West,0,0,2,0,1,1,1474,6,513,29,1987,16,18,16,0,0,22,22,25,14,0,1,4,0,2,Chiefs,87,1,6,254,0.33,,,,
